bee,colony,queen,group,PreExposure,framesOnNest,framesOffNest,AtoI_Unbumped_OnNest,ItoA_Unbumped_OnNest,AtoI_Bumped_OnNest,ItoA_Bumped_OnNest,AtoI_Unbumped_OffNest,ItoA_Unbumped_OffNest,AtoI_Bumped_OffNest,ItoA_Bumped_OffNest
6442,2,0,3,0,2579,2312,0.025965379494008,0.0597907324364723,0.00920245398773001,0.133333333333333,0.123222748815166,0.0150421179302046,0.192307692307692,0.032345013477089
6433,2,0,3,0,1983,307,0.00410958904109593,0.357142857142857,0,0.5,0,NaN,0,NaN
6111,2,0,3,0,1299,236,0.00711743772241991,0.0463576158940397,0.0142857142857142,0.125,0.0119760479041916,0.5,0.0344827586206896,0.333333333333333
6472,2,0,3,0,1224,5695,0.0271565495207667,0.0994152046783626,0.0970873786407767,0.0266666666666667,0.0907012195121951,0.0298215595208995,0.0795454545454546,0.0625
6477,2,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6473,2,0,1,0,2548,2091,0.0176017601760176,0.115384615384615,0.00512820512820511,0.210526315789474,0.0515759312320917,0.0343137254901961,0.0794701986754967,0.0638297872340425
5415,2,0,3,0,5047,91,0.0462962962962963,0.107969151670951,0.0738137082601055,0.107142857142857,0.0392156862745098,0.25,0,0.142857142857143
6359,2,0,1,0,2909,3432,0.00886917960088696,0.238095238095238,0.00210526315789472,1,0.0704441041347627,0.0531286894923259,0.04,0.0202020202020202
5284,2,0,2,0,1650,3395,0.00664206642066423,0.476190476190476,0,NaN,0.0216606498194946,0.335227272727273,0.0219435736677116,0.380952380952381
5473,2,0,2,0,2780,2490,0.0218706375058166,0.326241134751773,0.0125628140703518,0.75,0.0788177339901478,0.0416088765603329,0.00840336134453779,0.0512820512820513
5615,2,0,2,0,413,5944,0.00571428571428567,0.571428571428571,0.0227272727272727,NaN,0.0676895306859205,0.0161325966850829,0.0374331550802139,0.135135135135135
5604,2,0,3,0,694,7595,0.0150375939849624,0.0115273775216138,0,0,0.0553935860058309,0.0134205092911218,0.0563380281690141,0.0109090909090909
6337,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5454,2,0,1,0,2501,123,0.00654307524536535,0.478260869565217,0.0018281535648994,0.666666666666667,0,NaN,0,NaN
5423,2,0,2,0,1056,284,0.00407055630936226,0.272727272727273,0,0,0,NaN,0,NaN
6378,2,0,2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5472,2,0,3,0,4099,56,0.0300658978583196,0.0969101123595506,0.0359195402298851,0.171597633136095,0,NaN,0,NaN
6470,2,0,1,0,2357,1739,0.015203531142717,0.673913043478261,0.00990099009900991,1,0.0364372469635628,0.0293122886133033,0,0
5416,2,0,2,0,1866,2112,0.0319465081723626,0.220588235294118,0.00714285714285712,0,0.123020706455542,0.0837651122625216,0.0869565217391305,0.113207547169811
5600,2,0,2,0,1890,348,0.00979020979020984,0.111111111111111,0,0,0,NaN,0,NaN
5460,2,0,1,0,2542,3981,0.0149812734082397,0.283185840707965,0.00406504065040647,0,0.0498988536749831,0.0341766533510874,0.0368098159509203,0.157894736842105
5410,2,0,3,0,2674,2006,0.01142313184198,0.192,0.00884955752212391,0.1875,0.0372208436724566,0.146666666666667,0.0546218487394958,0.0829015544041451
5350,2,0,1,0,3943,1072,0.00328407224958949,0.314285714285714,0.00282087447108603,0.333333333333333,0.00548245614035092,0.333333333333333,0,NaN
6219,2,0,3,0,2806,1866,0.0126050420168067,0.490909090909091,0.00744878957169459,0.3,0.012,0.375,0.0288065843621399,0.4
5414,2,0,2,0,2580,2031,0.0103280680437424,0.0871559633027523,0.022887323943662,0.13953488372093,0.0515653775322283,0.0268041237113402,0.11304347826087,0.0326975476839237
6179,2,0,3,0,1231,1020,0.0187304890738814,0.5625,0.0197044334975369,0.5,0.054945054945055,0.0745501285347044,0.0185185185185185,1
6323,2,0,1,0,0,625,NaN,NaN,NaN,NaN,0.4,0.00182149362477231,0,NaN
5444,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
